Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Desert Sunlight	AST	DesertSunlight	Normal Trap							All monsters on your side of the field are changed to face-up Defense Position.
Desertapir	AST	Desertapir	Beast/Effect	Earth	3	900	300			FLIP: Flip 1 face-up monster on the field into face-down Defense Position. You cannot select "Desertapir".
Disc Fighter	AST	DiscFighter	Warrior/Effect	Earth	4	1000	1000			If this card attacks a Defense Position monster with DEF 2000 or more, destroy the monster with this card's effect without applying Damage Calculation.
Dora of Fate	AST	DoraofFate	Normal Trap							Activate only during your opponent's turn. Select 1 face-up monster on your opponent's side of the field. When you successfully Normal Summon a monster that is 1 Level lower than the selected monster during your next turn, inflict damage to your opponent's Life Points equal to the Level of the selected monster x 500 points.
Double Coston	AST	DoubleCoston	Zombie/Effect	Dark	4	1700	1650			This card can be treated as 2 Tributes for the Tribute Summon of a DARK monster.
Draining Shield	AST	DrainingShield	Normal Trap							Negate the attack of 1 of your opponent's monsters and gain Life Points equal to the monster's ATK.
Dust Barrier	AST	DustBarrier	Continuous Spell							Face-up Normal Monsters on the field are unaffected by your opponent's Spell Cards. This card is destroyed during your second Standby Phase after activation.
Elephant Statue of Blessing	AST	ElephantStatueofBlessing	Rock/Effect	Earth	3	1500	0			When this card is sent directly from your hand to the Graveyard by an effect of a card controlled by your opponent, gain 2000 Life Points.
Elephant Statue of Disaster	AST	ElephantStatueofDisaster	Rock/Effect	Earth	3	1500	0			When this card is sent directly from your hand to the Graveyard by an effect of a card controlled by your opponent, inflict 2000 damage to your opponent.
Emissary of the Afterlife	AST	EmissaryoftheAfterlife	Fiend/Effect	Dark	4	1600	600			When this card is sent from the field to the Graveyard, each player selects 1 Level 3 or lower Normal Monster from their Deck, and adds it to their hand after showing it to the opponent. The Decks are then shuffled.
Emissary of the Oasis	AST	EmissaryoftheOasis	Spellcaster/Effect	Light	3	600	400			As long as a face-up Level 3 or lower Normal Monster remains on your side of the field, your opponent cannot select this card as an attack target. As long as this card remains on your side of the field, any Battle Damage to the controller of this card from battle involving a Level 3 or lower Normal Monster becomes 0.
Enchanting Fitting Room	AST	EnchantingFittingRoom	Normal Spell							Pay 800 Life Points. Pick up 4 cards from the top of your Deck and Special Summon the Level 3 or lower Normal Monsters among the picked-up cards to your side of the field. Return all the other cards to your Deck and the Deck is then shuffled.
Fiend Scorpion	AST	FiendScorpion	Insect	Earth	2	900	200			A huge scorpion inhabited by the soul of a fiend. Usually it holds back, but has untapped potential.
Gear Golem the Moving Fortress	AST	GearGolemtheMovingFortress	Machine/Effect	Earth	4	800	2200			Pay 800 Life Points. This card can attack your opponent directly this turn.
Ghost Knight of Jackal	AST	GhostKnightofJackal	Beast-Warrior/Effect	Earth	5	1700	1600			You can Special Summon an opponent's monster that is destroyed and sent to the Graveyard by this card as a result of battle to your side of the field in face-up Defense Position.
Goblin King	AST	GoblinKing	Fiend/Effect	Dark	1	0	0			This card cannot be attacked if there is another Fiend-Type monster on your side of the field. The ATK and DEF of this card become the number of Fiend-Type monsters on the field (excluding this card) x 1000 points.
Goblin Thief	AST	GoblinThief	Normal Spell							Infict 500 damage to your opponent and gain 500 Life Points.
Grave Protector	AST	GraveProtector	Fiend/Effect	Dark	4	0	2000			As long as this card remains face-up on the field, monsters that are destroyed by battle are returned to the owner's Deck instead of being sent to the Graveyard. The Deck is then shuffled.
Human-Wave Tactics	AST	HumanWaveTactics	Continuous Trap							During the End Phase of each turn, select a number of Level 2 or lower Normal Monsters from your Deck equal to the number of your Level 2 or lower Normal Monsters destroyed by battle during that turn, and Special Summon them to your side of the field. The Deck is then shuffled.
Judgment of the Desert	AST	JudgmentoftheDesert	Continuous Trap							The Battle Positions of face-up monsters that are flipped face-up after activation of this card cannot be changed.
KA-2 Des Scissors	AST	KA2DesScissors	Machine/Effect	Dark	4	1000	1000			When this card destroys a monster and sends it to the Graveyard as a result of battle, inflict damage to your opponent's Life Points equal to the Level of the destroyed monster x 500 points.
Kozaky	AST	Kozaky	Fiend	Dark	1	400	400			A workaholic fiend who devotes everything to his research into the languages of Dark World. His mind has collapsed because of working too hard.
Labyrinth of Nightmare	AST	LabyrinthofNightmare	Continuous Trap							During the End Phase of each turn, change the Battle Positions of all face-up monsters on the turn player's side of the field.
Lady Ninja Yae	AST	LadyNinjaYae	Warrior/Effect	Wind	3	1100	200			By discarding 1 WIND monster from your hand to the Graveyard, return all Spell and Trap Cards on your opponent's side of the field to the owner's hand.
Legacy Hunter	AST	LegacyHunter	Warrior/Effect	Earth	4	1000	1500			When this card attacks a face-down Defense Position monster and destroys it and sends it to the Graveyard as a result of battle, your opponent returns 1 random card from his/her hand to his/her Deck. His/her Deck is then shuffled.
Legendary Jujitsu Master	AST	LegendaryJujitsuMaster	Rock/Effect	Earth	3	1300	1800			A monster that battles with this Defense Position card is returned to the top of its owner's Deck at the end of the Damage Step.
Level Limit - Area B	AST	LevelLimitAreaB	Continuous Spell						A1/T1	All face-up Level 4 or higher monsters on the field are changed to Defense Position and remain in Defense Position as long as this card is active.
Light of Judgment	AST	LightofJudgment	Normal Trap							Activate this card by discarding 1 LIGHT Monster Card from your hand to the Graveyard while "The Sanctuary in the Sky" is on the field. Select 1 card on the field controlled by your opponent or 1 card in your opponent's hand, and send it to the Graveyard.
Man-Thro' Tro'	AST	ManThroTro	Beast-Warrior/Effect	Earth	4	1000	1000			By Tributing 1 Normal Monster (except a Token) on your side of the field, inflict 800 points of damage to your opponent's Life Points.
Mazera DeVille	AST	MazeraDeVille	Fiend/Effect	Dark	8	2800	2300			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up "Warrior of Zera" on your side of the field while "Pandemonium" is on the field. If "Pandemonium" is on your side of the field when you Special Summon this card, your opponent discards 3 random cards from their hand. If "Pandemonium" is not on your side of the field, this effect is not applied.
Mermaid Knight	AST	MermaidKnight	Aqua/Effect	Water	4	1500	700			As long as "Umi" remains face-up on the field, this card can attack twice during the same Battle Phase.
Metal Armored Bug	AST	MetalArmoredBug	Insect	Earth	8	2800	1500			A gigantic insect-like creature covered by thick armor. Everything in his path is destroyed.
Micro Ray	AST	MicroRay	Normal Trap							The DEF of 1 face-up monster on the field becomes 0 until the end of the End Phase.
Mokey Mokey	AST	MokeyMokey	Fairy	Light	1	300	100			An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.
Monster Gate	AST	MonsterGate	Normal Spell							Tribute 1 monster on your side of the field. Pick up cards from your Deck until you pick up a monster that can be Normal Summoned, and Special Summon it. Send any other cards picked up to the Graveyard.
Mystical Shine Ball	AST	MysticalShineBall	Fairy	Light	2	500	500			A soul of light covered by mystical shine. When you see its beautiful shape, your dream will come true.
Mystik Wok	AST	MystikWok	Quick-Play Spell							Tribute 1 monster you control. Select either its ATK or DEF and gain that many Life Points.
Needle Burrower	AST	NeedleBurrower	Machine/Effect	Dark	5	1700	1700			When this card destroys a monster and sends it to the Graveyard as a result of battle, inflict damage to your opponent's Life Points equal to the Level of the destroyed monster x 500 points.
Night Assailant	AST	NightAssailant	Fiend/Effect	Dark	3	200	500		A1/T1	FLIP: Select 1 monster on your opponent's side of the field and destroy it. When this card is sent directly from your hand to the Graveyard, return 1 Flip Effect Monster from your Graveyard to your hand.
Ninjitsu Art of Transformation	AST	NinjitsuArtofTransformation	Continuous Trap							Activate this card by Tributing 1 face-up monster on your side of the field that includes "Ninja" in its card name. Special Summon 1 Beast-Type, Winged Beast-Type, or Insect-Type monster with a Level equal to or less than the Level of the Tributed card + 3 from your hand or Deck to your side of the field. When this card is removed from your side of the field, destroy the monster.
Nubian Guard	AST	NubianGuard	Warrior/Effect	Fire	2	500	500			When this card inflicts Battle Damage to your opponent's Life Points, you can return 1 Continuous Spell Card from your Graveyard to the top of your Deck.
Opti-Camouflage Armor	AST	OptiCamouflageArmor	Equip Spell							This card can only be equipped to a Level 1 monster. A monster equipped with this card can attack your opponent directly.
Order to Charge	AST	OrdertoCharge	Quick-Play Spell							Select 1 face-up Normal Monster (except a Token) on your side of the field when you activate this card. When this card resolves, Tribute the selected Normal Monster and destroy 1 monster on your opponent's side of the field.
Order to Smash	AST	OrdertoSmash	Normal Trap							Select 1 face-up Level 2 or lower Normal Monster (except a Token) on your side of the field when you activate this card. When this card resolves, you can Tribute the selected Normal Monster and destroy 1 or 2 Spell or Trap Cards on your opponent's side of the field.
Pharaoh's Servant	AST	PharaohsServant	Zombie	Dark	2	900	0			An apparition of those said to formerly serve the Pharaoh. It has tremendous loyalty that does not waiver.
Pharaonic Protector	AST	PharaonicProtector	Zombie	Earth	2	900	0			The mummy of a soldier that has been guarding the royal family for thousands of years. Even now, its spirit does not allow anybody to trespass.
Piranha Army	AST	PiranhaArmy	Fish/Effect	Water	2	800	200			The Battle Damage this card inflicts by attacking your opponent's Life Points directly is doubled.
Protector of the Sanctuary	AST	ProtectoroftheSanctuary	Fiend/Effect	Earth	4	1100	1900			Your opponent cannot draw cards except during Draw Phases.
Regenerating Mummy	AST	RegeneratingMummy	Zombie/Effect	Dark	4	1800	1500			When this card is sent from your hand to the Graveyard by an opponent's card effect, return this card to your hand.
Rocket Jumper	AST	RocketJumper	Rock/Effect	Earth	3	1000	800			If the only cards on your opponent's side of the field are Defense Position monsters, this card can attack your opponent directly.
Sand Gambler	AST	SandGambler	Spellcaster/Effect	Light	3	300	1600			Toss a coin 3 times. If all 3 results are Heads, destroy all monsters on your opponent's side of the field. If all 3 results are Tails, destroy all monsters on your side of the field. This effect can only be used once per turn during your Main Phase.
Sealmaster Meisei	AST	SealmasterMeisei	Spellcaster	Dark	3	1100	900			One of the few people who has a good command of Talismans. His history is a mystery.
Solar Flare Dragon	AST	SolarFlareDragon	Pyro/Effect	Fire	4	1500	1000			While you control another Pyro-Type monster, this card cannot be attacked. Inflict 500 damage to your opponent during the End Phase of your turn.
Solar Ray	AST	SolarRay	Normal Trap							Inflict 600 damage to your opponent for each face-up LIGHT monster on your side of the field.
Sonic Jammer	AST	SonicJammer	Machine/Effect	Wind	2	350	650			FLIP: Your opponent cannot activate any Spell Cards until the end of the End Phase of the next turn.
Soul Reversal	AST	SoulReversal	Quick-Play Spell							Return 1 Flip Effect Monster from your Graveyard to the top of your Deck.
Soul-Absorbing Bone Tower	AST	SoulAbsorbingBoneTower	Zombie/Effect	Dark	3	400	1500			This card cannot be attacked if there is another Zombie-Type monster on your side of the field. Each time a Zombie-Type monster is Special Summoned successfully, send 2 cards from the top of your opponent''s Deck to the Graveyard.
Special Hurricane	AST	SpecialHurricane	Normal Spell							Discard 1 card from your hand. Destroy all Special Summoned monsters on the field.
Spell Economics	AST	SpellEconomics	Continuous Spell							You do not have to pay any Life Points to activate a Spell Card.
Spirit of the Pharaoh	AST	SpiritofthePharaoh	Zombie/Effect	Light	6	2500	2000			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of "The First Sarcophagus". When this card is Special Summoned successfully, you can Special Summon up to 4 Level 2 or lower Zombie-Type Normal Monsters from your Graveyard.
Stone Statue of the Aztecs	AST	StoneStatueoftheAztecs	Rock/Effect	Earth	4	300	2000			Double any Battle Damage your opponent takes when they attack this monster.
Sword of the Soul-Eater	AST	SwordoftheSoulEater	Equip Spell							You can only equip this card to a Level 3 or lower Normal Monster on your side of the field. When you activate this card, Tribute all Normal Monsters (except Tokens) on your side of the field, except the equipped monster, as Tributes. Increase the ATK of the equipped monster by 1000 points for each Normal Monster that you Tributed.
Talisman of Spell Sealing	AST	TalismanofSpellSealing	Continuous Trap							Activate only when there is a face-up "Sealmaster Meisei" on your side of the field. As long as this card remains face-up on the field, Spell Cards cannot be activated and the effects of face-up Spell Cards on the field are negated. When "Sealmaster Meisei" is removed from the field, destroy this card.
Talisman of Trap Sealing	AST	TalismanofTrapSealing	Continuous Spell							Activate only when there is a face-up "Sealmaster Meisei" on your side of the field. As long as this card remains face-up on the field, Trap Cards cannot be activated and the effects of face-up Trap Cards on the field are negated. When "Sealmaster Meisei" is removed from the field, destroy this card.
The Agent of Creation - Venus	AST	TheAgentofCreationVenus	Fairy/Effect	Light	3	1600	0			Pay 500 Life Points to select 1 "Mystical Shine Ball" from your hand or Deck, and Special Summon it to your side of the field.
The Agent of Force - Mars	AST	TheAgentofForceMars	Fairy/Effect	Light	3	0	0			This card is unaffected by any Spell Cards. If there is "The Sanctuary in the Sky" on your side of the field, and your Life Points are higher than your opponent's Life Points, increase the ATK and DEF of this card by the difference between your and your opponent's Life Points.
The Agent of Wisdom - Mercury	AST	TheAgentofWisdomMercury	Fairy/Effect	Light	4	0	1700			When you have no cards in your hand during your opponent's End Phase, draw 1 card from your Deck during your next Standby Phase.
