Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Fabled Lurrie	HA02	FabledLurrie	Fiend/Effect	Light	1	200	400			When this card is discarded from your hand to the Graveyard, Special Summon it.
Fabled Valkyrus	HA02	FabledValkyrus	Fiend/Synchro/Effect	Light	8	2900	1700			1 "Fabled" Tuner + 1 or more non-Tuner monsters  Once per turn, you can discard 1 Fiend-Type monster to draw 1 card.
Flamvell Baby	HA02	FlamvellBaby	Pyro/Tuner	Fire	1	800	200			During your Main Phase, you can send this card from your hand to the Graveyard to select 1 face-up FIRE monster you control and give it 400 ATK.
Flamvell Grunika	HA02	FlamvellGrunika	Dragon/Effect	Fire	4	1700	200			When this card destroys a monster by battle and sends it to the Graveyard, inflict damage to your opponent equal to the Level of the destroyed monster x 200.
Genex Army	HA02	GenexArmy	Machine/Effect	Earth	6	2300	1300			When this card is Tribute Summoned by Tributing a "Genex" monster, you can destroy 1 card your opponent controls.
Genex Blastfan	HA02	GenexBlastfan	Spellcaster/Effect	Wind	4	1600	1300			When this card is Special Summoned, you can add 1 DARK "Genex" monster from your Deck to your hand.
Genex Doctor	HA02	GenexDoctor	Spellcaster/Effect	Dark	3	1500	1000			You can Tribute 1 face-up "Genex Controller" you control to destroy 1 card on the field.
Genex Furnace	HA02	GenexFurnace	Pyro/Effect	Fire	5	2000	1300			If you control a face-up "Genex Controller", you can Normal Summon this card without Tributing.
Genex Gaia	HA02	GenexGaia	Rock/Effect	Earth	3	1000	1900			If this card would be destroyed, you can destroy 1 "Genex Controller" monster you control, other than this card, instead.
Genex Recycled	HA02	GenexRecycled	Machine/Tuner	Dark	1	200	400			Once per turn, you can select 1 "Genex" monster in your Graveyard. Until the End Phase, this card's name is treated as the selected monster's name.
Genex Solar	HA02	GenexSolar	Machine/Effect	Light	7	2500	1500			This card can be Normal Summoned by Tributing 1 "Genex" monster. Each time a face-up "Genex" monster(s) you control is sent to the Graveyard, inflict 500 damage to your opponent.
Genex Spare	HA02	GenexSpare	Machine/Tuner	Dark	3	800	1200			Once per turn, if you control another "Genex" monster, you can make this card's name "Genex Controller" until the End Phase.
Genex Turbine	HA02	GenexTurbine	Machine/Effect	Earth	4	1400	1300			All face-up "Genex" monsters you control gain 400 ATK.
Geo Genex	HA02	GeoGenex	Machine/Synchro/Effect	Earth	6	1800	2800			1 "Genex Controller" + 1 or more EARTH non-Tuner monsters  Once per turn, if you control a face-up Level 4 or lower "Genex" monster(s), you can switch the original ATK and DEF of this card until the End Phase, for as long as you control a face-up level 4 or lower "Genex" monster(s).
Geomancer of the Ice Barrier	HA02	GeomanceroftheIceBarrier	Spellcaster/Tuner	Water	3	800	1200			Discard 1 card and declare 1 Attribute. This card cannot be selected as an attack target by monsters with that Attribute. This effect can only be used once while this card is face-up on the field.
Jurrac Giganoto	HA02	JurracGiganoto	Dinosaur/Synchro/Effect	Fire	7	2100	1800			1 Tuner + 1 or more non-Tuner Dinosaur-Type monstersAll face-up "Jurrac" monsters you control gain 200 ATK for each "Jurrac" monster in your Graveyard.
Jurrac Monoloph	HA02	JurracMonoloph	Dinosaur/Tuner	Fire	3	1500	1200			This card can attack all monsters your opponent controls once each.
Jurrac Protops	HA02	JurracProtops	Dinosaur/Effect	Fire	4	1700	1200			This card gains 100 ATK for each monster your opponent controls.
Jurrac Tyrannus	HA02	JurracTyrannus	Dinosaur/Effect	Fire	7	2500	1400			You can Tribute 1 Dinosaur-Type monster you control to have this card gain 500 ATK. If this card destroys an opponent's monster by battle and sends it to the Graveyard, this card gains 300 ATK.
Jurrac Velo	HA02	JurracVelo	Dinosaur/Effect	Fire	4	1700	1000			When this face-up Attack Position card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 "Jurrac" monster with 1700 or less ATK from your Deck.
Medium of the Ice Barrier	HA02	MediumoftheIceBarrier	Spellcaster/Effect	Water	7	2200	1600			If your opponent controls 4 or more cards than you do, you can Special Summon this card from your hand. Your opponent can only activate 1 Spell/Trap Card per turn.
Mist Valley Apex Avian	HA02	MistValleyApexAvian	Winged Beast/Effect	Wind	7	2700	2000			When an effect is activated, you can select 1 face-up "Mist Valley" card you control. Return that "Mist Valley" card to it's owner's hand, negate the effect's activation, and destroy the card whose effect was activated.
Mist Valley Baby Roc	HA02	MistValleyBabyRoc	Winged Beast/Tuner	Wind	2	400	600			When this card is sent directly from the hand to the Graveyard, you can Special Summon it.
Mist Valley Executor	HA02	MistValleyExecutor	Thunder/Effect	Wind	5	2100	1600			When this card is Normal Summoned, return all face-up Spell and Trap Cards on the field to the owners' hands.
Mist Valley Falcon	HA02	MistValleyFalcon	Winged Beast/Effect	Wind	4	2000	1200			This card cannot declare an attack unless you return 1 card you control to its owner's hand.
Mist Valley Thunder Lord	HA02	MistValleyThunderLord	Thunder/Synchro/Effect	Wind	7	2600	2400			1 Tuner + 1 or more non-Tuner "Mist Valley" monsters  Once per turn, you can select and return 1 card you control to the hand, and this card gains 500 ATK until the End Phase. This effect can be activated during either player's turn.
Naturia Antjaw	HA02	NaturiaAntjaw	Insect/Effect	Earth	2	400	200			When your opponent Special Summons a monster(s), you can Special Summon 1 Level 3 or lower "Naturia" monster from your Deck.
Naturia Beast	HA02	NaturiaBeast	Beast/Synchro/Effect	Earth	5	2200	1700			1 EARTH Tuner + 1 or more non-Tuner EARTH monsters  While this card is face-up on the field, you can send the top 2 cards of your Deck to the Graveyard to negate the activation of a Spell Card and destroy it.
Naturia Beetle	HA02	NaturiaBeetle	Insect/Effect	Earth	4	400	1800			Switch the original ATK and DEF of this card each time a Spell Card is activated.
Naturia Cosmobeet	HA02	NaturiaCosmobeet	Plant/Tuner	Earth	2	1000	700			When your opponent Normal Summons or Sets a monster, you can Special Summon this card from your hand.
Naturia Guardian	HA02	NaturiaGuardian	Plant/Effect	Earth	4	1600	400			When your opponent Normal Summons a monster, this card gains 300 ATK until the End Phase.
Naturia Leodrake	HA02	NaturiaLeodrake	Beast/Synchro	Earth	9	3000	1800			1 EARTH Tuner + 1 or more non-Tuner EARTH monsters
Naturia Rock	HA02	NaturiaRock	Rock/Effect	Earth	3	1200	1200			When a Trap Card is activated, you can send 1 card from the top of your Deck to the Graveyard to Special Summon this card from your hand.
Naturia Rosewhip	HA02	NaturiaRosewhip	Plant/Tuner	Earth	3	400	1700			Your opponent can only activate 1 Spell or Trap Card per turn.
Naturia Spiderfang	HA02	NaturiaSpiderfang	Insect/Effect	Earth	4	2100	400			This card can only declare an attack during a turn that your opponent activates the effect of a Spell, Trap or Effect Monster Card.
Naturia Vein	HA02	NaturiaVein	Plant/Tuner	Earth	1	200	300			You can Tribute this card and 1 "Naturia" monster to negate the activation of your opponent's Spell or Trap Card, and destroy it.
Pilgrim of the Ice Barrier	HA02	PilgrimoftheIceBarrier	Warrior/Effect	Water	4	1500	1000			This card cannot be destroyed by battle with a monster with 1900 or more ATK.
Thermal Genex	HA02	ThermalGenex	Machine/Synchro/Effect	Fire	8	2400	1200			Genex Controller + 1 or more FIRE non-Tuner Monsters  This card gains 200 ATK for each FIRE monster in your Graveyard. If this card destroys an opponent's monster by battle, inflict 200 damage to your opponent for each "Genex" monster in your Graveyard.
Windmill Genex	HA02	WindmillGenex	Machine/Synchro/Effect	Wind	7	2000	1600			Genex Controller + 1 or more non-Tuner WIND monsters This card gains 300 ATK for each face-down Spell and Trap Card on the field. You can send 1 card from your hand to the Graveyard to destroy 1 face-down Spell or Trap Card.
Worm Linx	HA02	WormLinx	Reptile/Effect	Light	2	300	1000			FLIP: If this card is face-up during the End Phase, draw 1 card.
Worm Millidith	HA02	WormMillidith	Reptile/Effect	Light	4	400	1600			FLIP: You can equip this card to a monster your opponent controls as an Equip Card. Inflict 400 damage to the controller of the equipped monster during each Standby Phase.
Worm Noble	HA02	WormNoble	Reptile/Effect	Light	6	1500	2400			FLIP: If this card is flipped face-up by an opponent's monster's attack, inflict damage to your opponent equal to half the attacking monster's ATK.
Worm Opera	HA02	WormOpera	Reptile/Effect	Light	2	400	800			FLIP: All face-up monsters on the field lose 500 ATK, except Reptile-Type "Worm" monsters.
Worm Prince	HA02	WormPrince	Reptile/Effect	Light	6	2200	400			If this card destroys an opponent's monster by battle, you can add 1 Reptile-Type "Worm" monster from your Deck to your hand. Destroy this card during the End Phase if you do not control another Reptile-Type "Worm" monster.
Worm Queen	HA02	WormQueen	Reptile/Effect	Light	8	2700	1100			You can Tribute Summon this card in face-up Attack Position by Tributing 1 Reptile-Type "Worm" monster. Once per turn, you can Tribute 1 Reptile-Type "Worm" monster to Special Summon 1 Reptile-Type "Worm" monster from your Deck with a Level less than or equal to the Tributed monster.
Worm Rakuyeh	HA02	WormRakuyeh	Reptile/Effect	Light	4	2100	1200			This card can only declare an attack the turn it was flipped face-up. If this card attacks, it is changed to face-down Defense Position at the end of the Battle Phase.
Ally of Justice Cycle Reader	HA03	AllyofJusticeCycleReader	Machine/Tuner	Dark	3	1000	1000			During either player's turn, you can discard this card to select and remove from play up to 2 LIGHT monsters from your opponent's Graveyard.
Ally of Justice Decisive Armor	HA03	AllyofJusticeDecisiveArmor	Machine/Synchro/Effect	Dark	10	3300	3300			1 Tuner + 2 or more non-Tuner monsters. Once per turn, if your opponent controls a face-up LIGHT monster(s), you can activate 1 of these effects: Select 1 Set card your opponent controls and destroy it OR Send 1 card from your hand to the Graveyard to destroy all Spell/Trap Cards your opponent controls OR Send all cards in your hand to the Graveyard to look at your opponent's hand and send all LIGHT monsters in their hand to the Graveyard. Then, inflict damage to your opponent equal to the total ATK of the opponent's monsters sent to the Graveyard.
Ally of Justice Omni-Weapon	HA03	AllyofJusticeOmniWeapon	Machine/Effect	Dark	5	2200	800			When this card destroys a LIGHT monster by battle and sends it to the Graveyard, draw 1 card. If that card is a Level 4 or lower DARK monster, you can reveal that card to Special Summon it.
Ally of Justice Quarantine	HA03	AllyofJusticeQuarantine	Machine/Effect	Dark	4	1700	1200			Neither player can Special Summon LIGHT monsters.
Caravan of the Ice Barrier	HA03	CaravanoftheIceBarrier	Sea Serpent/Effect	Water	1	500	200			Once per turn, you can return 2 "Ice Barrier" monsters in your Graveyard to the Deck to have both players draw 1 card.
Dewdark of the Ice Barrier	HA03	DewdarkoftheIceBarrier	Aqua/Tuner	Water	2	1200	800			If the only face-up monsters you control are Level 2 or lower monsters, this card can attack your opponent directly.
Dragunity Darkspear	HA03	DragunityDarkspear	Dragon/Tuner	Wind	3	1000	1000			Once per turn, you can Tribute 1 Dragon-Type "Dragunity" monster to select and Special Summon 1 Level 4 or lower Winged Beast-Type monster from your Graveyard.
