Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Gem-Knight Prism Aura	DT11	J-DO36	Thunder/Fusion/Effect	Earth	7	2450	1400		ocg	1 "Gem-Knight" monster + 1 Thunder-Type monster. This monster can only be Special Summoned by Fusion Summon (from the Extra Deck). Once per turn, you can send 1 "Gem-Knight" card from your hand to the Graveyard to select 1 face-up card on the field, and destroy it.
Laval Stannon	DT11	J-DO37	Pyro/Synchro/Effect	Fire	7	2700	1800		ocg	1 Tuner + 1 or more non-Tuner FIRE monsters. When this card is Synchro Summoned, send 1 card from your hand to the Graveyard. When this card is targeted by a card effect, you can remove from play 1 "Laval" monster in your Graveyard to negate the activation and destroy that card.
Vylon Alpha	DT11	J-DO38	Machine/Synchro/Effect	Light	9	2200	1100		ocg	1 "Vylon" Tuner + 1 or more non-Tuner monsters. When this card is Synchro Summoned, you can select 1 Equip Spell Card in your Graveyard and equip it to this card. This card equipped with an Equip Card(s) cannot be destroyed by the effect of a Spell or Trap Card, except an Equip Card.
Vylon Omega	DT11	J-DO39	Fairy/Synchro/Effect	Light	10	3200	1900		ocg	2 Tuners + 1 non-Tuner "Vylon" monster. When this card is Synchro Summoned, destroy all face-up monsters on the field that was Normal Summoned or Set. Once per turn, you can select 1 "Vylon" monster in your Graveyard and equip it to this card as an Equip Card. When an Effect Monster's effect is activated, you can send 1 Equip Card equipped to this card to the Graveyard to negate the activation of the effect, and destroy it.
Daigusto Sphreeze	DT11	J-DO40	Psychic/Synchro/Effect	Wind	6	2000	1300		ocg	1 Tuner + 1 or more non-Tuner "Gusto" monsters. When this card is Synchro Summoned, you can select 1 "Gusto" card in your Graveyard, and add it to the hand. This card cannot be destroyed by battle. Your opponent takes all Battle Damage you would have taken from a battle involving a face-up "Gusto" monster you control.
Vylon Component	DT11	J-DO43	Equip Spell						ocg	Equip only to a "Vylon" monster. When it attacks a Defense Position monster whose DEF is lower than the ATK of this monster, inflict the difference as Battle Damage to your opponent. If this face-up card on the field is sent to the Graveyard, you can add 1 "Vylon" Spell Card from your Deck to your hand.
Vylon Element	DT11	J-DO44	Continuous Spell						ocg	When a face-up "Vylon" Equip Card(s) you control is destroyed, you can Special Summon a number of "Vylon" Tuner monsters from your Deck, up to the number of destroyed cards. These monsters cannot be used as a Synchro Material Monster, except for the Synchro Summon of a "Vylon" monster.
Forbidden Arts of the Gishki	DT11	J-DO45	Ritual Spell						ocg	This card is used to Ritual Summon "Gishki" Ritual Monsters. You must also Tribute face-up monsters whose total Levels are equal to the Ritual monster from either side of the field. The ATK of the monster Ritual Summoned by this effect is halved. You cannot conduct your Battle Phase the turn you activate this card.
Pyroxene Fusion	DT11	J-DO48	Normal Trap						ocg	Send Fusion Material Monsters that are listed on a "Gem-Knight" Fusion Monster Card from your hand or your side of the field to the Graveyard, and Special Summon the Fusion Monster from your Extra Deck. (This Special Summon is treated as a Fusion Summon.)
Infestation Ripples	DT11	J-DO49	Normal Trap						ocg	Pay 500 Life Points to select 1 Level 4 or lower "Steelswarm" monster in your Graveyard. Special Summon it from your Graveyard.
Means of Infestation	DT11	J-DO50	Normal Trap						ocg	Send 1 "Steelswarm" monster from your Deck to your Graveyard to select 1 face-up "Steelswarm" monster you control. The selected monster gains 800 ATK until the End Phase.
Gem-Knight Obsidian	DT12	J-DE17	Rock/Effect	Earth	3	1500	1200		ocg	If this card is sent from your hand to the Graveyard, you can select 1 Level 4 or lower Normal Monster in your Graveyard and Special Summon it.
Gem-Knight Iolite	DT12	J-DE18	Aqua/Gemini	Earth	4	1300	2000		ocg	This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect: *Once per turn, you can remove from play 1 "Gem-Knight" monster from your Graveyard to add 1 "Gem-Knight" monster from your Graveyard to your hand.
Gem-Knight Amber	DT12	J-DE19	Thunder/Gemini	Earth	4	1600	1400		ocg	This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect: *Once per turn, you can discard 1 "Gem-Knight" card to add 1 of your removed from play monsters to your hand.
Laval Lady of the Burning Lake	DT12	J-DE20	Pyro/Tuner	Fire	3	200	200		ocg	If there are 3 or more different "Laval" monsters in your Graveyard: You can banish 1 "Laval" monster and this card from your Graveyard to target 1 Set card your opponent controls; Destroy that target.
Laval Coatl	DT12	J-DE21	Pyro/Tuner	Fire	2	1300	700		ocg	If you have 3 or more different "Laval" monsters in your Graveyard, you can Special Summon this card from your hand.
Laval Gunner	DT12	J-DE22	Warrior/Effect	Fire	4	1200	800		ocg	When this card is Normal Summoned while you have a "Laval" monster in your Graveyard other than "Laval Gunner", you can send the top 5 cards of your Deck to the Graveyard. This card gains 200 ATK for each "Laval" monster sent to the Graveyard by this effect.
Vylon Pentacro	DT12	J-DE23	Machine/Union	Light	4	500	400		ocg	Once per turn, during your Main Phase, you can equip this card to a face-up "Vylon" monster you control as an Equip Card, OR unequip it to Special Summon this card in face-up Attack Position. While equipped to a monster by this effect, if the equipped monster destroys an opponent's monster by battle, you can select 1 card your opponent controls and destroy it. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)
Vylon Tesseract	DT12	J-DE24	Machine/Union	Light	4	800	600		ocg	Once per turn, during your Main Phase, you can equip this card to a face-up "Vylon" monster you control as an Equip Card, OR unequip it to Special Summon this card in face-up Attack Position. While equipped to a monster by this effect, if the equipped monster destroys an opponent's monster by battle, you can Special Summon 1 Level 4 or lower "Vylon" monster from your Graveyard. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)
Vylon Stigma	DT12	J-DE25	Fairy/Effect	Light	4	1600	1000		ocg	Once per turn, you can select 1 face-up "Vylon" Equip Card. Unequip it, and equip it to another appropriate monster. This effect can be activated during your opponent's turn.
Vision Gishki	DT12	J-DE26	Aqua/Effect	Water	2	700	500		ocg	If you Ritual Summon a WATER Ritual Monster, this 1 card can be used as the entire Tribute. You can discard this card to add 1 "Gishki" Ritual Monster from your Deck to your hand.
Gishki Emilia	DT12	J-DE27	Spellcaster/Spirit	Water	4	1600	800		ocg	This card cannot be Special Summoned. This card returns to the hand during the End Phase of the turn it is Normal Summoned or flipped face-up. If this card is Normal Summoned or flipped face-up while you control another face-up "Gishki" monster, negate the effects of Trap Cards on the field, until the End Phase.
Gishki Shellfish	DT12	J-DE28	Sea Serpent/Effect	Water	4	1700	900		ocg	When this card is sent to the Graveyard by a card effect, you can reveal the top 3 cards of your Deck, and return them to the top of your Deck in any order.
Gusto Falco	DT12	J-DE29	Winged Beast/Tuner	Wind	2	600	1400		ocg	When this face-up card on the field is sent to the Graveyard, except when destroyed by battle, you can Special Summon 1 "Gusto" monster from your Deck in face-down Defense Position.
Kamui, Hope of Gusto	DT12	J-DE30	Psychic/Effect	Wind	2	200	1000		ocg	FLIP: Special Summon 1 "Gusto" Tuner monster from your Deck.
Musto, Priest of Gusto	DT12	J-DE31	Psychic/Effect	Wind	4	1800	900		ocg	Once per turn, you can return 1 "Gusto" monster from your Graveyard to the Deck to select 1 face-up monster on the field. Negate that monster's effect(s), until the End Phase.
Evigishki Gustkrake	DT12	J-DE32	Aqua/Ritual/Effect	Water	6	2400	1000		ocg	This card can only be Ritual Summoned with a "Gishki" Ritual Spell Card. When this card is Ritual Summoned, reveal up to 2 random cards in your opponent's hand and select 1 of them. Return that card to the Deck.
Gem-Knight Amethyst	DT12	J-DE33	Aqua/Fusion/Effect	Earth	7	1950	2450		ocg	1 "Gem-Knight" monster + 1 Aqua-Type monster. This card can only be Special Summoned by Fusion Summon, from the Extra Deck. When this card is sent from the field to the Graveyard, return all Set Spell/Trap Cards on the field to the hand(s).
Lavalval Dragoon	DT12	J-DE34	Dragon/Synchro/Effect	Fire	6	2500	1200		ocg	1 Tuner + 1 or more non-Tuner FIRE monsters. Once per turn, during your Main Phase, you can add 1 "Laval" monster from your Deck to your hand. Then, send 1 "Laval" monster from your hand to the Graveyard.
Daigusto Falcos	DT12	J-DE35	Psychic/Synchro/Effect	Wind	4	1400	1200		ocg	1 Tuner + 1 or more non-Tuner "Gusto" monsters. When this card is Synchro Summoned, all face-up “Gusto” monsters gain 600 ATK.
Gem-Knight Pearl	DT12	J-DE36	Rock/Xyz	Earth	*4	2600	1900		ocg	2 Level 4 monsters.
Lavalval Ignis	DT12	J-DE37	Warrior/Xyz/Effect	Fire	*3	1800	1400		ocg	2 Level 3 monsters. If this card battles, you can activate this effect once during the Damage Step. If you do, detach 1 Xyz Material from this card to have it gain 500 ATK until the End Phase.
Vylon Disigma	DT12	J-DE38	Fairy/Xyz/Effect	Light	*4	2500	2100		ocg	3 Level 4 monsters. Once per turn, you can detach 1 Xyz Material from this card to select 1 face-up Attack Position Effect Monster your opponent controls, and equip it to this card as an Equip Card. When this card battles a monster that has the same Attribute as a monster equipped to this card by this card's effect, destroy that monster at the start of the Damage Step (without damage calculation).
Evigishki Merrowgeist	DT12	J-DE39	Aqua/Xyz/Effect	Water	*4	2100	1600		ocg	2 Level 4 monsters. If this card destroys a monster by battle, you can detach 1 Xyz Material from this card to return that monster to the Deck.
Daigusto Phoenix	DT12	J-DE40	Pyro/Xyz/Effect	Wind	*2	1500	1100		ocg	2 Level 2 monsters. Once per turn, you can detach 1 Xyz Material from this card to select 1 face-up WIND monster you control. That monster can attack twice during this turn's Battle Phase.
Particle Fusion	DT12	J-DE43	Normal Spell						ocg	Send, from your side of the field to the Graveyard, Fusion Material Monsters listed on a "Gem-Knight" Fusion Monster Card, and Special Summon that monster from your Extra Deck. (This Special Summon is treated as a Fusion Summon.) Then, you can remove from play this card from your Graveyard to select 1 "Gem-Knight" Fusion Material Monster used for that Fusion Summon. Until the End Phase, the Fusion Monster gains ATK equal to the selected monster's ATK.
Vylon Polytope	DT12	J-DE44	Quick-Play Spell						ocg	Select any number of "Vylon" Monster Cards you control that are treated as Equip Cards, and Special Summon them in face-up Defense Position. When a monster Special Summoned by this effect is removed from field, remove it from play.
Vylon Segment	DT12	J-DE45	Equip Spell						ocg	Equip only to a "Vylon" monster. It cannot be targeted by the effects of your opponent's Spell Cards, Trap Cards, or Effect Monsters. If this face-up card is sent to the Graveyard, you can add 1 "Vylon" Spell Card from your Deck to your hand.
Blazing Dust Explosion	DT12	J-DE48	Normal Trap						ocg	Remove from play all "Laval" monsters from your Graveyard. Destroy cards on the field, up to the number of monsters removed from play by this effect.
Ceremonial Mirror of Illusion	DT12	J-DE49	Normal Trap						ocg	Special Summon a "Gishki" Ritual Monster from your hand. A Ritual Monster Special Summoned by this effect cannot attack. During the End Phase, return it to the hand.
Gusto Whirlwind	DT12	J-DE50	Normal Trap						ocg	Activate only if you control no monsters. Select 2 "Gusto" monsters in your Graveyard and return them to the Deck. Then, Special Summon 1 "Gusto" monster with 1000 or less DEF from your Deck.
Gem-Knight Sanyx	DT13	J-SK14	Pyro/Gemini	Earth	4	1800	900		ocg	This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it be treated as an Effect Monster with this effect: *When this card destroys an opponent's monster by battle and sends it to the Graveyard: You can add 1 "Gem-Knight" card from your Deck to your hand.
Laval Phlogis	DT13	J-SK15	Pyro/Effect	Fire	4	1700	800		ocg	When this card is sent to the Graveyard: Face-up "Laval" monsters you control gain 300 ATK.
Gishki Avance	DT13	J-SK16	Spellcaster/Effect	Water	4	1500	800		ocg	Once per turn: You can choose 1 "Gishki" monster in your Deck, and place it on top of your Deck.
Gusto Grif	DT13	J-SK17	Winged Beast/Effect	Wind	2	800	300		ocg	If this card is sent from the hand to the Graveyard: You can Special Summon 1 "Gusto" monster from your Deck. Each player can only use the effect of "Gusto Grif" once per turn.
Sacred Sheratan	DT13	J-SK18	Beast/Effect	Light	3	700	1900		ocg	When this card is Normal Summoned: You can add 1 "Sacred" monster from your Deck to your hand.
Sacred Dabaran	DT13	J-SK19	Beast-Warrior/Effect	Light	3	1300	800		ocg	When this card is Normal Summoned: You can Special Summon 1 Level 3 "Sacred" monster from your hand.
Sacred Gredi	DT13	J-SK20	Spellcaster/Effect	Light	4	1600	1400		ocg	When this card is Normal Summoned: You can Special Summon 1 Level 4 "Sacred" monster from your hand.
Sacred Pollux	DT13	J-SK21	Warrior/Effect	Light	4	1700	600		ocg	Once during the turn this card is Normal Summoned, you can Normal Summon 1 "Sacred" monster in addition to your Normal Summon or Set.
Sacred Eska	DT13	J-SK22	Machine/Effect	Light	5	2100	1400		ocg	When this card is Normal or Special Summoned: Add 1 "Sacred" monster from your Deck to your hand.
Sacred Spica	DT13	J-SK23	Fairy/Effect	Light	5	2300	1600		ocg	When this card is Normal Summoned: You can Special Summon 1 Level 5 "Sacred" monster from your hand in face-up Defense Position.
Verz Heliolope	DT13	J-SK24	Rock	Dark	4	1950	650		ocg	nuir dna noitcurtsed rof kees sthguoht live mrawsleets elbon dna erup
Verz Zahhak	DT13	J-SK25	Dragon/Effect	Dark	4	1850	850		ocg	When this monster is destroyed and sent to the Graveyard: Target 1 face-up Level 5 or higher Special Summoned monster; destroy it.
Verz Kaitos	DT13	J-SK26	Aqua/Effect	Dark	4	1750	1050		ocg	You can Tribute this card to target 1 Spell/Trap Card your opponent controls; destroy it.
Verz Olanta	DT13	J-SK27	Pyro/Effect	Dark	4	1650	1250		ocg	You can Tribute this card to target 1 face-up monster your opponent controls; destroy it.
Verz Mandrago	DT13	J-SK28	Plant/Effect	Dark	4	1550	1450		ocg	If your opponent controls more monster(s) than you: You can Special Summon this card from your hand.
Verz Frais	DT13	J-SK29	Winged Beast/Effect	Dark	4	1150	1850		ocg	FLIP: Target 1 face-up card your opponent controls; return it to the hand.
Evigishki Levianima	DT13	J-SK31	Aqua/Ritual/Effect	Water	8	2700	1500		ocg	Must first be Ritual Summoned with a "Gishki" Ritual Spell Card. When this card declares an attack: Draw 1 card and reveal it. If the card is a "Gishki" monster: Look at 1 random card in your opponent's hand.
Gem-Knight Zirconia	DT13	J-SK33	Rock/Fusion	Earth	8	2900	2500		ocg	1 "Gem-Knight" monster + 1 Rock-Type monster.
Lavalval Chain	DT13	J-SK35	Sea Serpent/Xyz/Effect	Fire	*4	1800	1000		ocg	2 Level 4 monsters. Once per turn: You can detach 1 Xyz Material from this card to activate 1 of the following effects: *Send 1 card from your Deck to the Graveyard. *Choose 1 Monster Card from your Deck and put it on top of your Deck.
Daigusto Emeral	DT13	J-SK36	Rock/Xyz/Effect	Wind	*4	1800	800		ocg	2 Level 4 monsters. Once per turn: You can detach 1 Xyz Material from this card to activate 1 of the following effects: *Target 3 monsters in your Graveyard and shuffle them into your Deck; draw 1 card. *Target 1 Non-Effect Monster in your Graveyard; Special Summon it.
Sacred Hyades	DT13	J-SK37	Beast-Warrior/Xyz/Effect	Light	*3	1900	1100		ocg	2 Level 3 LIGHT monsters. You can detach 1 Xyz Material from this card; change all monsters your opponent controls to face-up Defense Position.
Sacred Pleiades	DT13	J-SK38	Warrior/Xyz/Effect	Light	*5	2500	1500		ocg	2 Level 5 LIGHT monsters. Once per turn: You can detach 1 Xyz Material from this card to target 1 card on the field; return that target to the hand. This effect can be activated during your opponent's turn.
Verz Nightmare	DT13	J-SK39	Fiend/Xyz/Effect	Dark	*4	950	1950		ocg	2 Level 4 DARK monsters. When your opponent Special Summons a monster: You can detach 1 Xyz Material from this card; flip the Special Summoned monster into face-down Defense Position.
Verz Bahamut	DT13	J-SK40	Dragon/Xyz/Effect	Dark	*4	2350	1350		ocg	2 Level 4 "Verz" or "Steelswarm" monsters. Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up monster your opponent controls; discard 1 "Verz" or "Steelswarm" monster from your hand and take control of the target.
Sweltering Heat Transmission Field	DT13	J-SK43	Normal Spell						ocg	Send 2 "Laval" monsters from your Deck to the Graveyard.
Gishki's Duplicate Soul Mirror	DT13	J-SK44	Ritual Spell						ocg	This card is used to Ritual Summon 1 "Gishki" Ritual Monster. You must also pay 500 Life Points x the Level of the monster you are attempting to Summon.
Star Sign of the Sacred	DT13	J-SK45	Continuous Spell						ocg	Once per turn, when a "Sacred" Xyz Monster is Special Summoned to your side of the field: You can draw 1 card.
Doublet Fusion	DT13	J-SK48	Normal Trap						ocg	Choose 1 "Gem-Knight" Fusion Monster in your Extra Deck whose listed Fusion Material Monsters are in your Graveyard; banish them, and Special Summon that Fusion Monster from the Extra Deck. (This Special Summon is treated as a Fusion Summon.) During the End Phase: The monster Special Summoned by this effect is destroyed.
Gusto's Dust	DT13	J-SK49	Normal Trap						ocg	During the turn you activate this card, when a "Gusto" monster you control declares an attack, your opponent cannot activate the effects of Spell, Trap, or Effect Monsters.
Corrosive Contagion Infestation	DT13	J-SK50	Continuous Trap						ocg	Once per turn: You can return 1 "Verz" or "Steelswarm" monster from your hand or side of the field to the Deck; add 1 "Verz" or "Steelswarm" monster from your Deck to your hand.
ESPer Star Sparrow	DT14	J-WO01	Warrior/Effect	Light	10	3000	1500		ocg	When your opponent's monster declares a direct attack, if this card is in your Graveyard: Special Summon this card in face-up Defense Position. If this card is Special Summoned this way, when it leaves the field, banish it. While this card is face-up on the field, other cards you control cannot be targeted by your opponent's cards and cannot be targeted for an attack. You can only control 1 face-up "ESPer Star Sparrow".
Beast Warrior Puma	DT14	J-WO02	Beast-Warrior/Effect	Light	4	1600	1000		ocg	You can Tribute this card; add 1 "ESPer Star Sparrow" from your Deck or Graveyard to your hand.
Phoenix Beast Gairuda	DT14	J-WO03	Winged Beast/Effect	Wind	6	2500	1200		ocg	If this card attacks an opponent's monster: It gains 300 ATK during the Damage Step only.
Ironhammer the Giant	DT14	J-WO04	Machine/Effect	Earth	8	900	3500		ocg	If you control "ESPer Star Sparrow", "Beast Warrior Puma" and "Phoenix Beast Gairuda", you can Special Summon this card (from your hand). While this card is face-up on the field, monsters cannot change their battle positions. Once per turn: You can target 1 monster you control; this turn, that target can attack directly during the Battle Phase.
Dimensional Jet Iron	DT14	J-WO05	Machine/Effect	Light	10	4000	0		ocg	Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand) by sending 1 "ESPer Star Sparrow", "Beast Warrior Puma", "Phoenix Beast Gairuda", and "Ironhammer the Giant" from your hand or side of the field to the Graveyard. You can Tribute this face-up card you control; Special Summon 1 "ESPer Star Sparrow", "Beast Warrior Puma", "Phoenix Beast Gairuda", and "Ironhammer the Giant" from your Graveyard.
Aye-Iron	DT14	J-WO06	Machine/Effect	Earth	4	1600	1800		ocg	Once per turn: You can have this card gain 400 ATK. This card cannot attack the turn you activated this effect.
Tinplate Goldfish	DT14	J-WO07	Machine/Effect	Water	4	800	2000		ocg	When this card is Normal Summoned: You can Special Summon 1 Level 4 monster from your hand.
Clockwork Shikigami	DT14	J-WO08	Machine/Effect	Dark	8	100	100		ocg	Cannot be Normal Summoned or Set. Must first be Special Summoned (from your hand) if the only monsters in your Graveyard are Machine-Type. Once per turn: You can target 1 face-up monster your opponent controls; that target's ATK becomes 0 until the End Phase.
Gem-Knight Lazuli	DT14	J-WO13	Rock/Effect	Earth	1	600	100		ocg	If this card is sent to the Graveyard by a card effect: You can target 1 Normal Monster in your Graveyard; add that target to your hand.
Gishki Natalia	DT14	J-WO14	Spellcaster/Spirit	Water	4	1800	900		ocg	Cannot be Special Summoned. During the End Phase of the turn this card was Normal Summoned or flipped face-up: Return this card to the hand. When this card is Normal Summoned or flipped face-up: You can target 1 "Gishki" monster in your Graveyard; return it on the top of the Deck.
Sacred Schet	DT14	J-WO15	Fairy/Effect	Light	1	100	1600		ocg	If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand). Once per turn: You can target 1 "Sacred" monster you control or in your Graveyard; this card becomes the same Level as that target. This card cannot be used for an Xyz Summon, except for a "Sacred" monster.
Sacred Hawwa	DT14	J-WO16	Spellcaster/Effect	Light	2	900	100		ocg	You can Tribute this card; Special Summon 1 "Sacred" monster, except "Sacred Hawwa", from your hand or Graveyard in face-up Defense Position.
Sacred Leonis	DT14	J-WO17	Beast/Effect	Light	3	1000	1800		ocg	While this card is face-up on the field, once during your Main Phase, you can Normal Summon 1 "Sacred" monster in addition to your Normal Summon.
Sacred Acubes	DT14	J-WO18	Machine/Effect	Light	4	800	2000		ocg	When this card is Normal or Special Summoned: Face-up "Sacred" monsters you control gain 500 ATK.
Sacred Kaust	DT14	J-WO19	Beast-Warrior/Effect	Light	4	1800	700		ocg	This card cannot be used as a Synchro Material Monster. Up to twice per turn: You can target 1 "Sacred" monster on the field; activate 1 of these effects. *Increase its Level by 1. *Reduce its Level by 1.
Sacred Rescha	DT14	J-WO20	Warrior/Effect	Light	6	2200	1200		ocg	When this card is Normal Summoned: Special Summon 1 "Sacred" monster from your hand in face-up Defense Position.
Sacred Antares	DT14	J-WO21	Machine/Effect	Light	6	2400	900		ocg	When this card is Normal or Special Summoned: Target 1 "Sacred" monster in your Graveyard; add it to your hand.
Verz Castor	DT14	J-WO22	Warrior/Effect	Dark	4	1750	550		ocg	You can Normal Summon 1 "Verz" monster in addition to your Normal Summon or Set. You can only gain this effect once per turn.
Verz-o'-Wisp	DT14	J-WO23	Pyro/Effect	Dark	4	450	2050		ocg	If this card battles an opponent's monster, that monster's effect is negated after damage calculation.
Verz Azathoth	DT14	J-WO24	Reptile/Effect	Dark	4	750	1950		ocg	FLIP: Target 1 Special Summoned monster on the field; shuffle it into the Deck.
